,date,pfizer,moderna,astrazeneca
0,2019-01-02,41.03416,15.33,37.8
1,2019-01-03,39.88615,15.5,38.33
2,2019-01-04,40.79696,16.96,39.18
3,2019-01-07,41.01518,16.27,38.78
4,2019-01-08,41.20493,16.95,38.13
5,2019-01-09,41.11954,16.33,37.8
6,2019-01-10,40.14231,16.48,38.26
7,2019-01-11,40.68311,17.0,36.95
8,2019-01-14,40.19924,16.74,35.55
9,2019-01-15,40.5408,16.59,36.11
10,2019-01-16,39.95256,16.26,35.79
11,2019-01-17,40.29412,16.31,36.29
12,2019-01-18,40.35104,16.69,36.55
13,2019-01-22,40.10436,15.56,36.27
14,2019-01-23,40.0,14.79,36.69
15,2019-01-24,38.85199,14.64,35.79
16,2019-01-25,38.55788,14.91,35.75
17,2019-01-28,37.50475,14.45,35.49
18,2019-01-29,38.68121,14.63,35.55
19,2019-01-30,39.44971,15.13,35.95
20,2019-01-31,40.27514,16.6,36.58
21,2019-02-01,40.68311,16.22,36.65
22,2019-02-04,40.26566,16.27,36.76
23,2019-02-05,39.95256,17.18,37.0
24,2019-02-06,40.16129,18.14,36.87
25,2019-02-07,39.56357,17.05,36.94
26,2019-02-08,40.06641,17.99,37.01
27,2019-02-11,39.54459,18.17,36.68
28,2019-02-12,39.72486,18.69,37.2
29,2019-02-13,39.56357,18.53,36.58
30,2019-02-14,39.81973,19.66,39.98
31,2019-02-15,40.2277,21.44,40.92
32,2019-02-19,40.41746,20.83,40.46
33,2019-02-20,40.03795,19.92,40.53
34,2019-02-21,39.98103,19.34,40.43
35,2019-02-22,40.75901,19.88,40.94
36,2019-02-25,40.87286,21.65,41.5
37,2019-02-26,40.81594,23.7,41.98
38,2019-02-27,40.73055,22.1,42.39
39,2019-02-28,41.12903,22.6,41.58
40,2019-03-01,41.13852,22.27,41.76
41,2019-03-04,40.86338,21.12,41.69
42,2019-03-05,40.6926,21.37,42.31
43,2019-03-06,39.71537,20.65,42.03
44,2019-03-07,39.26945,20.59,41.66
45,2019-03-08,38.79507,20.93,41.77
46,2019-03-11,39.37381,20.43,42.19
47,2019-03-12,39.59203,19.26,41.85
48,2019-03-13,39.85769,19.97,42.45
49,2019-03-14,39.0797,20.82,42.27
50,2019-03-15,39.63947,21.82,42.51
51,2019-03-18,39.66793,22.18,42.58
52,2019-03-19,40.13283,20.35,42.87
53,2019-03-20,40.00949,20.0,43.02
54,2019-03-21,40.18027,19.34,42.95
55,2019-03-22,39.70588,19.0,42.59
56,2019-03-25,39.74383,19.4,42.55
57,2019-03-26,40.24668,19.9,42.94
58,2019-03-27,39.86717,19.27,42.65
59,2019-03-28,40.12334,19.66,42.98
60,2019-03-29,40.29412,20.35,40.43
61,2019-04-01,40.64516,20.59,41.27
62,2019-04-02,40.71157,19.7,41.59
63,2019-04-03,40.64516,21.33,41.09
64,2019-04-04,40.55029,23.08,40.53
65,2019-04-05,40.78748,25.96,40.7
66,2019-04-08,40.92979,27.23,40.86
67,2019-04-09,40.64516,26.82,40.69
68,2019-04-10,40.5408,26.8,40.54
69,2019-04-11,40.10436,25.73,39.84
70,2019-04-12,39.57306,24.61,39.52
71,2019-04-15,39.93359,25.84,39.81
